"Year","Rate"
1970,0.0734833333333333
1971,0.0615916666666667
1972,0.0621
1973,0.068425
1974,0.075575
1975,0.079875
1976,0.0761166666666667
1977,0.0741916666666667
1978,0.0841
1979,0.094425
1980,0.1146
1981,0.139108333333333
1982,0.130016666666667
1983,0.11105
1984,0.124383333333333
1985,0.106233333333333
1986,0.076825
1987,0.0838416666666667
1988,0.0884583333333333
1989,0.0849833333333333
1990,0.0855
1991,0.0785833333333333
1992,0.0701
1993,0.0587333333333333
1994,0.0708
1995,0.0658
1996,0.0643833333333333
1997,0.063525
1998,0.0526416666666667
1999,0.0563666666666667
2000,0.0602916666666667
2001,0.050175
2002,0.0461083333333333
2003,0.04015
2004,0.0427416666666667
2005,0.0429
2006,0.0479166666666667
2007,0.0462916666666667
2008,0.0366666666666667
2009,0.0325666666666667
2010,0.0321416666666667
2011,0.0278583333333333
2012,0.018025
2013,0.0235083333333333
2014,0.0254083333333333
2015,0.0213583333333333
2016,0.0184166666666667
2017,0.0233
2018,0.0291
2019,0.0214416666666667
